gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-LOC100856282	0	0	2	0	3	0	0	0	0
gene-LOC111090656	0	0	0	0	0	0	0	0	0
gene-AIG1	194	246	241	297	231	286	275	309	348
gene-LOC111095529	0	3	0	0	0	0	0	0	0
gene-LOC111095530	0	0	0	1	0	0	0	0	4
gene-LOC111090660	0	0	0	0	0	0	0	0	0
gene-LOC611679	0	0	0	0	0	0	0	0	0
gene-ADAT2	511	560	520	387	304	372	413	416	333
gene-PEX3	645	590	584	498	435	497	458	481	500
gene-LOC111095543	0	0	0	1	0	0	0	4	0
gene-FUCA2	504	633	793	518	280	592	865	628	984
gene-LOC102151921	0	0	4	3	1	2	0	1	1
gene-LOC111095548	1	1	0	12	2	0	2	0	5
gene-PHACTR2	1636	1694	3111	2049	1451	2383	1543	1162	2431
gene-LOC119870688	0	0	0	0	0	0	0	0	0
gene-LOC100856400	2	4	2	5	3	2	0	0	0
gene-LTV1	2451	1635	1066	1307	1378	881	1514	2016	973
gene-ZC2HC1B	296	256	213	208	169	126	314	323	235
gene-PLAGL1	975	984	772	671	481	623	1591	1075	818
gene-LOC119870998	6	1	0	0	2	0	1	1	0
gene-SF3B5	2214	1533	1569	1362	1311	1029	1282	1720	1224
gene-LOC100687865	0	0	0	0	0	0	0	0	0
gene-STX11	2214	1996	1306	1639	1460	834	3050	2196	2642
gene-LOC106558637	8	4	10	1	1	3	18	11	2
gene-TRNAL-UAA	0	0	0	0	0	0	0	0	0
gene-LOC100856481	0	0	0	0	0	0	0	0	0
gene-LOC119870746	0	0	0	0	0	5	0	0	5
gene-UTRN	1695	3320	3246	2237	801	2308	1857	774	2681
gene-LOC119869934	0	1	0	0	0	0	0	0	0
gene-LOC119869876	0	0	0	0	0	0	0	0	0
gene-LOC119870747	0	0	0	0	0	0	0	0	0
gene-LOC100687936	0	0	0	0	0	0	0	0	0
gene-LOC611761	0	1	0	0	0	0	0	0	0
gene-LOC484021	8	46	14	22	32	19	23	22	7
gene-EPM2A	16	27	27	28	14	9	5	8	11
gene-LOC119870748	0	0	0	0	0	0	0	0	0
gene-LOC111095602	0	0	0	0	0	0	0	0	0
