gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-LOC111090644	0	0	0	1	0	0	0	0	0
gene-LOC119870738	8	1	2	4	3	0	3	0	2
gene-IL22RA2	441	505	485	573	1093	426	595	665	650
gene-LOC119869884	0	0	0	0	0	0	0	0	0
gene-LOC102155014	449	331	338	305	347	319	263	225	228
gene-IFNGR1	13557	13274	14859	16416	10833	14298	14618	11197	15247
gene-LOC102155165	14	10	0	216	126	155	39	6	36
gene-LOC111090647	0	0	0	0	0	2	47	28	25
gene-LOC100685599	0	0	0	0	0	0	0	0	0
gene-OLIG3	8	3	5	2	17	0	8	0	0
gene-LOC111090650	0	0	0	0	0	0	0	0	0
gene-LOC100685756	0	0	0	0	0	0	0	0	0
gene-LOC119870652	0	20	4	10	2	11	0	0	4
gene-TNFAIP3	7198	7551	4995	7033	4791	3249	10152	6440	8305
gene-LOC111090653	0	0	0	0	0	0	0	0	0
gene-LOC119870653	0	0	0	0	0	0	0	0	0
gene-PERP	833	1021	276	930	2474	217	1537	2459	399
gene-ARFGEF3	0	43	23	44	15	22	56	22	12
gene-LOC102156831	0	0	0	0	0	0	0	0	0
gene-LOC111095455	0	0	0	0	0	0	0	0	0
gene-LOC111095460	0	0	0	0	0	0	0	0	0
gene-HEBP2	8	0	0	0	0	8	4	2	1
gene-NHSL1	20	27	10	6	31	5	65	39	35
gene-FAM133B	173	185	197	168	154	143	157	150	106
gene-CCDC28A	609	854	634	632	352	320	913	542	713
gene-LOC100856236	0	1	6	0	0	0	2	0	0
gene-ECT2L	2	40	10	23	11	12	14	8	27
gene-LOC119870739	0	0	10	1	0	0	0	0	0
gene-REPS1	6081	4079	3726	3189	3304	2449	4289	3879	3379
gene-ABRACL	7766	11397	8307	7372	6296	6548	6290	6259	7952
gene-HECA	7846	13465	14060	11326	5015	9971	7630	4303	11117
gene-TXLNB	45	100	182	66	46	60	235	150	256
gene-CITED2	4222	5740	5070	5117	3458	3889	9317	6017	7160
gene-LOC102156887	0	0	0	3	0	0	3	0	0
gene-LOC106558610	0	1	0	0	0	0	0	0	0
gene-LOC106558606	0	0	0	0	0	0	5	4	1
gene-LOC111095494	0	0	2	4	0	0	1	4	1
gene-LOC119870740	6	10	6	12	5	24	34	14	23
gene-LOC119870654	0	0	0	0	0	0	0	0	0
gene-LOC111090654	0	0	0	0	0	0	0	1	0
gene-LOC611622	1	1	6	2	4	1	0	0	1
gene-LOC106558957	0	4	0	4	0	8	8	0	0
gene-LOC106558612	0	0	0	0	0	0	0	0	0
gene-LOC102157010	0	0	0	0	0	0	0	0	0
gene-LOC100686429	0	0	0	0	0	0	0	0	0
gene-LOC102157053	0	0	0	0	0	0	0	0	0
gene-NMBR	8	13	14	6	9	0	3	12	1
gene-GJE1	0	0	0	0	3	0	0	0	0
gene-VTA1	1412	1400	1237	976	771	633	1420	1078	1360
gene-ADGRG6	3	0	0	0	2	0	2	3	8
gene-LOC100686509	0	0	0	0	0	0	0	0	0
gene-HIVEP2	9534	9387	7800	7385	5110	5531	4872	2474	7264
gene-LOC100856282	21	1	4	1	4	6	3	4	3
gene-LOC111090656	0	0	0	0	0	0	0	0	0
gene-AIG1	431	500	459	586	501	577	549	614	699
