gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-RAB27B	98	86	49	35	63	14	4	9	2
gene-LOC610632	0	0	0	0	0	0	1	0	0
gene-LOC111095168	0	0	0	0	0	0	0	0	1
gene-LOC111095182	0	0	0	0	0	1	0	0	0
gene-CUPIN1	1	2	2	5	4	2	0	1	3
gene-C1H18orf54	557	523	358	516	483	376	569	616	483
gene-STARD6	271	360	260	352	204	296	291	213	344
gene-LOC100683370	825	774	807	646	563	569	532	406	685
gene-POLI	188	380	276	332	157	291	239	148	235
gene-LOC102154410	101	152	141	168	102	91	149	77	113
gene-MBD2	10047	6762	5594	5576	5229	4174	5278	5506	5630
gene-LOC106559491	2	2	3	0	0	2	3	0	1
gene-LOC119870641	0	0	0	0	0	0	0	0	0
gene-LOC119869910	0	0	0	0	0	0	0	0	0
gene-LOC102154621	0	0	0	0	0	0	0	0	0
gene-LOC119870642	0	0	0	0	0	0	0	0	0
gene-DCC	0	2	0	0	0	0	0	1	3
gene-LOC119869846	0	0	0	0	0	0	0	0	0
gene-LOC119869925	0	0	0	0	0	0	0	0	0
gene-LOC119869917	0	0	0	0	0	0	0	0	0
gene-LOC106558192	5	0	0	1	0	0	0	0	0
gene-LOC111090624	0	0	0	0	0	0	0	0	0
gene-LOC100683470	0	0	0	0	0	0	0	0	0
gene-LOC106559494	0	0	0	0	0	0	0	0	0
gene-LOC111095203	0	0	0	0	0	0	0	0	0
gene-LOC102154698	0	0	0	0	0	0	0	0	0
gene-LOC119869847	0	0	0	0	0	0	0	0	0
gene-LOC119870725	0	0	0	0	0	0	0	0	0
gene-LOC119870724	0	0	0	0	0	0	0	0	0
gene-LOC119870726	0	0	0	0	0	0	0	0	0
gene-MEX3C	2575	2037	1654	1897	1820	1377	1662	1954	1556
gene-SMAD4	1899	2353	1781	1801	1280	1381	1657	1207	1550
gene-ELAC1	1478	1759	1226	1526	965	1360	1097	1134	1007
gene-LOC111095221	374	314	231	224	252	151	322	400	313
gene-ME2	2915	1703	1431	1556	1782	1012	1975	2694	1530
gene-MRO	3	0	0	0	0	0	0	0	0
gene-LOC106559532	0	0	0	0	0	0	0	0	0
gene-MC2R	0	0	0	0	0	0	0	0	0
gene-MC5R	0	0	0	3	0	0	0	0	0
gene-RNMT	2535	2329	1486	1770	1630	1142	2237	2096	1473
gene-FAM210A	447	438	389	381	307	268	387	316	372
gene-LDLRAD4	0	9	42	3	0	2	30	34	36
