gene_set	genes	metric	reprocessed_sample	published_sample	correlation
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_BC_CAR_T	M_BC_CAR_T	-0.06401783656052112
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_BC_CAR_T	M_T_cell	-0.6226421692804492
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_T_cell	B_B7H3_CAR_T	-0.28749946293088374
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_T_cell	B_BC_CAR_T	0.16458832581371738
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_T_cell	B_T_cell	0.4884688818318456
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_T_cell	E_B7H3_CAR_T	0.5330627203571527
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_T_cell	E_BC_CAR_T	-0.12537470548008933
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_T_cell	E_T_cell	0.9151340999414814
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_T_cell	M_B7H3_CAR_T	-0.5172705689283862
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_T_cell	M_BC_CAR_T	-0.6068463999977425
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	E_T_cell	M_T_cell	-0.11515619169589413
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_B7H3_CAR_T	B_B7H3_CAR_T	-0.41756525744565376
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_B7H3_CAR_T	B_BC_CAR_T	-0.4701566684462923
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_B7H3_CAR_T	B_T_cell	-0.3266499781958552
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_B7H3_CAR_T	E_B7H3_CAR_T	-0.5976242739357669
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_B7H3_CAR_T	E_BC_CAR_T	-0.4389477485529861
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_B7H3_CAR_T	E_T_cell	-0.5138545319127978
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_B7H3_CAR_T	M_B7H3_CAR_T	0.9484263063458599
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_B7H3_CAR_T	M_BC_CAR_T	0.6490990006962052
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_B7H3_CAR_T	M_T_cell	0.5012162525818011
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_BC_CAR_T	B_B7H3_CAR_T	-0.0730932112878503
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_BC_CAR_T	B_BC_CAR_T	-0.577088615850344
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_BC_CAR_T	B_T_cell	-0.5327821072186105
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_BC_CAR_T	E_B7H3_CAR_T	-0.634093792042774
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_BC_CAR_T	E_BC_CAR_T	-0.05734256295107537
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_BC_CAR_T	E_T_cell	-0.6055103731985847
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_BC_CAR_T	M_B7H3_CAR_T	0.6534420132176368
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_BC_CAR_T	M_BC_CAR_T	0.9548072041941938
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_BC_CAR_T	M_T_cell	0.1438999466119429
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_T_cell	B_B7H3_CAR_T	-0.49246739443593157
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_T_cell	B_BC_CAR_T	-0.3660432789298936
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_T_cell	B_T_cell	0.09756863917516694
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_T_cell	E_B7H3_CAR_T	-0.4289021323209541
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_T_cell	E_BC_CAR_T	-0.6236711764921576
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_T_cell	E_T_cell	-0.12677117779538108
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_T_cell	M_B7H3_CAR_T	0.5146145511102088
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_T_cell	M_BC_CAR_T	0.14660943813246421
all_exact	11976	pearson_gene_centered_log2_CPM_plus1	M_T_cell	M_T_cell	0.9280818883240423
CPM1_both_at_least3_samples	9690	spearman_abundance	B_B7H3_CAR_T	B_B7H3_CAR_T	0.9268311927880895
CPM1_both_at_least3_samples	9690	spearman_abundance	B_B7H3_CAR_T	B_BC_CAR_T	0.903393684892083
CPM1_both_at_least3_samples	9690	spearman_abundance	B_B7H3_CAR_T	B_T_cell	0.8851120588027919
CPM1_both_at_least3_samples	9690	spearman_abundance	B_B7H3_CAR_T	E_B7H3_CAR_T	0.8957371223782937
CPM1_both_at_least3_samples	9690	spearman_abundance	B_B7H3_CAR_T	E_BC_CAR_T	0.912258608902791
CPM1_both_at_least3_samples	9690	spearman_abundance	B_B7H3_CAR_T	E_T_cell	0.8755473698775411
CPM1_both_at_least3_samples	9690	spearman_abundance	B_B7H3_CAR_T	M_B7H3_CAR_T	0.8532863914183662
CPM1_both_at_least3_samples	9690	spearman_abundance	B_B7H3_CAR_T	M_BC_CAR_T	0.8611403907588164
CPM1_both_at_least3_samples	9690	spearman_abundance	B_B7H3_CAR_T	M_T_cell	0.8645855883197998
CPM1_both_at_least3_samples	9690	spearman_abundance	B_BC_CAR_T	B_B7H3_CAR_T	0.8908954533493421
CPM1_both_at_least3_samples	9690	spearman_abundance	B_BC_CAR_T	B_BC_CAR_T	0.9164718475981712
CPM1_both_at_least3_samples	9690	spearman_abundance	B_BC_CAR_T	B_T_cell	0.9006558189654139
CPM1_both_at_least3_samples	9690	spearman_abundance	B_BC_CAR_T	E_B7H3_CAR_T	0.9025135483078394
CPM1_both_at_least3_samples	9690	spearman_abundance	B_BC_CAR_T	E_BC_CAR_T	0.8865824468826061
CPM1_both_at_least3_samples	9690	spearman_abundance	B_BC_CAR_T	E_T_cell	0.891958073956425
CPM1_both_at_least3_samples	9690	spearman_abundance	B_BC_CAR_T	M_B7H3_CAR_T	0.8464859827681218
CPM1_both_at_least3_samples	9690	spearman_abundance	B_BC_CAR_T	M_BC_CAR_T	0.823592690512689
CPM1_both_at_least3_samples	9690	spearman_abundance	B_BC_CAR_T	M_T_cell	0.8694134349151371
CPM1_both_at_least3_samples	9690	spearman_abundance	B_T_cell	B_B7H3_CAR_T	0.8690553891614959
CPM1_both_at_least3_samples	9690	spearman_abundance	B_T_cell	B_BC_CAR_T	0.8967196693599838
CPM1_both_at_least3_samples	9690	spearman_abundance	B_T_cell	B_T_cell	0.9122010884664907
CPM1_both_at_least3_samples	9690	spearman_abundance	B_T_cell	E_B7H3_CAR_T	0.8914721552490134
CPM1_both_at_least3_samples	9690	spearman_abundance	B_T_cell	E_BC_CAR_T	0.8644183036657858
CPM1_both_at_least3_samples	9690	spearman_abundance	B_T_cell	E_T_cell	0.8967211373004621
CPM1_both_at_least3_samples	9690	spearman_abundance	B_T_cell	M_B7H3_CAR_T	0.8409198254345318
CPM1_both_at_least3_samples	9690	spearman_abundance	B_T_cell	M_BC_CAR_T	0.8120377569761161
CPM1_both_at_least3_samples	9690	spearman_abundance	B_T_cell	M_T_cell	0.8750363254555703
CPM1_both_at_least3_samples	9690	spearman_abundance	E_B7H3_CAR_T	B_B7H3_CAR_T	0.8834030527194667
