published_symbol	reason
ENSCAFG00000005099	missing_exact_ROS_symbol
ENSCAFG00000005131	missing_exact_ROS_symbol
ENSCAFG00000005159	missing_exact_ROS_symbol
ENSCAFG00000005164	missing_exact_ROS_symbol
ENSCAFG00000005166	missing_exact_ROS_symbol
ENSCAFG00000005186	missing_exact_ROS_symbol
ENSCAFG00000005198	missing_exact_ROS_symbol
ENSCAFG00000005237	missing_exact_ROS_symbol
ENSCAFG00000005271	missing_exact_ROS_symbol
ENSCAFG00000005278	missing_exact_ROS_symbol
ENSCAFG00000005292	missing_exact_ROS_symbol
ENSCAFG00000005303	missing_exact_ROS_symbol
ENSCAFG00000005305	missing_exact_ROS_symbol
ENSCAFG00000005321	missing_exact_ROS_symbol
ENSCAFG00000005339	missing_exact_ROS_symbol
ENSCAFG00000005346	missing_exact_ROS_symbol
ENSCAFG00000005360	missing_exact_ROS_symbol
ENSCAFG00000005387	missing_exact_ROS_symbol
ENSCAFG00000005406	missing_exact_ROS_symbol
ENSCAFG00000005434	missing_exact_ROS_symbol
ENSCAFG00000005435	missing_exact_ROS_symbol
ENSCAFG00000005454	missing_exact_ROS_symbol
ENSCAFG00000005494	missing_exact_ROS_symbol
ENSCAFG00000005504	missing_exact_ROS_symbol
ENSCAFG00000005537	missing_exact_ROS_symbol
ENSCAFG00000005538	missing_exact_ROS_symbol
ENSCAFG00000005575	missing_exact_ROS_symbol
ENSCAFG00000005585	missing_exact_ROS_symbol
ENSCAFG00000005629	missing_exact_ROS_symbol
ENSCAFG00000005648	missing_exact_ROS_symbol
ENSCAFG00000005666	missing_exact_ROS_symbol
ENSCAFG00000005672	missing_exact_ROS_symbol
ENSCAFG00000005681	missing_exact_ROS_symbol
ENSCAFG00000005683	missing_exact_ROS_symbol
ENSCAFG00000005721	missing_exact_ROS_symbol
ENSCAFG00000005722	missing_exact_ROS_symbol
ENSCAFG00000005758	missing_exact_ROS_symbol
ENSCAFG00000005768	missing_exact_ROS_symbol
ENSCAFG00000005785	missing_exact_ROS_symbol
ENSCAFG00000005812	missing_exact_ROS_symbol
ENSCAFG00000005833	missing_exact_ROS_symbol
ENSCAFG00000005848	missing_exact_ROS_symbol
ENSCAFG00000005851	missing_exact_ROS_symbol
ENSCAFG00000005880	missing_exact_ROS_symbol
ENSCAFG00000005922	missing_exact_ROS_symbol
ENSCAFG00000005939	missing_exact_ROS_symbol
ENSCAFG00000005949	missing_exact_ROS_symbol
ENSCAFG00000005953	missing_exact_ROS_symbol
ENSCAFG00000005959	missing_exact_ROS_symbol
ENSCAFG00000005978	missing_exact_ROS_symbol
ENSCAFG00000005989	missing_exact_ROS_symbol
ENSCAFG00000006000	missing_exact_ROS_symbol
ENSCAFG00000006007	missing_exact_ROS_symbol
ENSCAFG00000006015	missing_exact_ROS_symbol
ENSCAFG00000006041	missing_exact_ROS_symbol
ENSCAFG00000006064	missing_exact_ROS_symbol
ENSCAFG00000006066	missing_exact_ROS_symbol
ENSCAFG00000006102	missing_exact_ROS_symbol
ENSCAFG00000006166	missing_exact_ROS_symbol
ENSCAFG00000006177	missing_exact_ROS_symbol
ENSCAFG00000006238	missing_exact_ROS_symbol
ENSCAFG00000006263	missing_exact_ROS_symbol
ENSCAFG00000006265	missing_exact_ROS_symbol
ENSCAFG00000006280	missing_exact_ROS_symbol
ENSCAFG00000006297	missing_exact_ROS_symbol
ENSCAFG00000006315	missing_exact_ROS_symbol
ENSCAFG00000006342	missing_exact_ROS_symbol
ENSCAFG00000006360	missing_exact_ROS_symbol
ENSCAFG00000006373	missing_exact_ROS_symbol
ENSCAFG00000006408	missing_exact_ROS_symbol
ENSCAFG00000006456	missing_exact_ROS_symbol
ENSCAFG00000006465	missing_exact_ROS_symbol
ENSCAFG00000006472	missing_exact_ROS_symbol
ENSCAFG00000006477	missing_exact_ROS_symbol
ENSCAFG00000006485	missing_exact_ROS_symbol
ENSCAFG00000006486	missing_exact_ROS_symbol
ENSCAFG00000006508	missing_exact_ROS_symbol
ENSCAFG00000006536	missing_exact_ROS_symbol
ENSCAFG00000006545	missing_exact_ROS_symbol
ENSCAFG00000006557	missing_exact_ROS_symbol
ENSCAFG00000006566	missing_exact_ROS_symbol
ENSCAFG00000006577	missing_exact_ROS_symbol
ENSCAFG00000006580	missing_exact_ROS_symbol
ENSCAFG00000006594	missing_exact_ROS_symbol
ENSCAFG00000006595	missing_exact_ROS_symbol
ENSCAFG00000006614	missing_exact_ROS_symbol
ENSCAFG00000006633	missing_exact_ROS_symbol
ENSCAFG00000006663	missing_exact_ROS_symbol
