symbol	ROS_gene_id
ARHGEF10L	gene-ARHGEF10L
ARHGEF11	gene-ARHGEF11
ARHGEF12	gene-ARHGEF12
ARHGEF16	gene-ARHGEF16
ARHGEF17	gene-ARHGEF17
ARHGEF18	gene-ARHGEF18
ARHGEF19	gene-ARHGEF19
ARHGEF2	gene-ARHGEF2
ARHGEF25	gene-ARHGEF25
ARHGEF26	gene-ARHGEF26
ARHGEF28	gene-ARHGEF28
ARHGEF3	gene-ARHGEF3
ARHGEF33	gene-ARHGEF33
ARHGEF37	gene-ARHGEF37
ARHGEF39	gene-ARHGEF39
ARHGEF4	gene-ARHGEF4
ARHGEF40	gene-ARHGEF40
ARHGEF6	gene-ARHGEF6
ARHGEF7	gene-ARHGEF7
ARHGEF9	gene-ARHGEF9
ARID1A	gene-ARID1A
ARID1B	gene-ARID1B
ARID2	gene-ARID2
ARID3A	gene-ARID3A
ARID3B	gene-ARID3B
ARID4A	gene-ARID4A
ARID4B	gene-ARID4B
ARID5A	gene-ARID5A
ARID5B	gene-ARID5B
ARIH1	gene-ARIH1
ARIH2	gene-ARIH2
ARL1	gene-ARL1
ARL10	gene-ARL10
ARL13B	gene-ARL13B
ARL14EP	gene-ARL14EP
ARL15	gene-ARL15
ARL16	gene-ARL16
ARL2BP	gene-ARL2BP
ARL3	gene-ARL3
ARL4C	gene-ARL4C
ARL4D	gene-ARL4D
ARL5B	gene-ARL5B
ARL5C	gene-ARL5C
ARL6	gene-ARL6
ARL6IP4	gene-ARL6IP4
ARL6IP5	gene-ARL6IP5
ARL8B	gene-ARL8B
ARMC1	gene-ARMC1
ARMC10	gene-ARMC10
ARMC12	gene-ARMC12
ARMC2	gene-ARMC2
ARMC5	gene-ARMC5
ARMC6	gene-ARMC6
ARMC8	gene-ARMC8
ARMC9	gene-ARMC9
ARMCX2	gene-ARMCX2
ARMCX3	gene-ARMCX3
ARMCX4	gene-ARMCX4
ARMCX5	gene-ARMCX5
ARMH1	gene-ARMH1
ARMH3	gene-ARMH3
ARMH4	gene-ARMH4
ARMT1	gene-ARMT1
ARNT	gene-ARNT
ARNT2	gene-ARNT2
ARNTL	gene-ARNTL
ARNTL2	gene-ARNTL2
ARPC1A	gene-ARPC1A
ARPC1B	gene-ARPC1B
ARPC2	gene-ARPC2
ARPC3	gene-ARPC3
ARPC4	gene-ARPC4
ARPC5	gene-ARPC5
ARPC5L	gene-ARPC5L
ARPIN	gene-ARPIN
ARPP21	gene-ARPP21
ARRB1	gene-ARRB1
ARRB2	gene-ARRB2
ARRDC1	gene-ARRDC1
ARRDC2	gene-ARRDC2
ARRDC3	gene-ARRDC3
ARRDC4	gene-ARRDC4
ARRDC5	gene-ARRDC5
ARSA	gene-ARSA
ARSB	gene-ARSB
ARSG	gene-ARSG
ARSH	gene-ARSH
ARSK	gene-ARSK
ART3	gene-ART3
ARV1	gene-ARV1
ARVCF	gene-ARVCF
AS3MT	gene-AS3MT
ASAH1	gene-ASAH1
ASAP1	gene-ASAP1
ASAP2	gene-ASAP2
ASB1	gene-ASB1
ASB11	gene-ASB11
ASB13	gene-ASB13
ASB15	gene-ASB15
ASB16	gene-ASB16
ASB2	gene-ASB2
ASB3	gene-ASB3
ASB6	gene-ASB6
ASB7	gene-ASB7
ASB8	gene-ASB8
ASB9	gene-ASB9
ASCC1	gene-ASCC1
ASCC2	gene-ASCC2
ASCC3	gene-ASCC3
ASCL2	gene-ASCL2
ASCL3	gene-ASCL3
ASF1A	gene-ASF1A
ASH1L	gene-ASH1L
ASH2L	gene-ASH2L
ASIC1	gene-ASIC1
ASIC3	gene-ASIC3
ASIC5	gene-ASIC5
ASMTL	gene-ASMTL
ASNS	gene-ASNS
ASNSD1	gene-ASNSD1
ASPDH	gene-ASPDH
ASPH	gene-ASPH
ASPHD1	gene-ASPHD1
ASPHD2	gene-ASPHD2
ASPM	gene-ASPM
ASPN	gene-ASPN
ASPRV1	gene-ASPRV1
ASPSCR1	gene-ASPSCR1
ASRGL1	gene-ASRGL1
ASS1	gene-ASS1
ASTE1	gene-ASTE1
ASTL	gene-ASTL
ASXL1	gene-ASXL1
ASXL2	gene-ASXL2
ATAD1	gene-ATAD1
ATAD2	gene-ATAD2
ATAD2B	gene-ATAD2B
ATAD3A	gene-ATAD3A
ATAD5	gene-ATAD5
ATAT1	gene-ATAT1
ATCAY	gene-ATCAY
ATE1	gene-ATE1
ATF1	gene-ATF1
ATF2	gene-ATF2
ATF3	gene-ATF3
ATF4	gene-ATF4
ATF5	gene-ATF5
ATF6	gene-ATF6
ATF6B	gene-ATF6B
ATF7IP	gene-ATF7IP
ATF7IP2	gene-ATF7IP2
ATG10	gene-ATG10
ATG101	gene-ATG101
ATG12	gene-ATG12
ATG13	gene-ATG13
ATG14	gene-ATG14
ATG16L1	gene-ATG16L1
ATG16L2	gene-ATG16L2
ATG2A	gene-ATG2A
ATG2B	gene-ATG2B
ATG3	gene-ATG3
ATG4A	gene-ATG4A
ATG4B	gene-ATG4B
ATG4C	gene-ATG4C
ATG4D	gene-ATG4D
ATG5	gene-ATG5
ATG7	gene-ATG7
ATG9A	gene-ATG9A
ATG9B	gene-ATG9B
ATIC	gene-ATIC
ATL1	gene-ATL1
ATL2	gene-ATL2
ATL3	gene-ATL3
ATM	gene-ATM
ATMIN	gene-ATMIN
ATOH7	gene-ATOH7
ATOX1	gene-ATOX1
ATP10A	gene-ATP10A
ATP10D	gene-ATP10D
ATP11A	gene-ATP11A
ATP11B	gene-ATP11B
ATP11C	gene-ATP11C
ATP12A	gene-ATP12A
ATP13A1	gene-ATP13A1
ATP13A2	gene-ATP13A2
ATP13A3	gene-ATP13A3
ATP13A4	gene-ATP13A4
ATP13A5	gene-ATP13A5
ATP1A1	gene-ATP1A1
ATP1A3	gene-ATP1A3
ATP1B1	gene-ATP1B1
ATP1B2	gene-ATP1B2
ATP1B3	gene-ATP1B3
ATP23	gene-ATP23
ATP2A1	gene-ATP2A1
ATP2A2	gene-ATP2A2
ATP2A3	gene-ATP2A3
ATP2B1	gene-ATP2B1
ATP2B2	gene-ATP2B2
ATP2B4	gene-ATP2B4
ATP2C1	gene-ATP2C1
ATP2C2	gene-ATP2C2
ATP4A	gene-ATP4A
ATP5F1A	gene-ATP5F1A
ATP5F1B	gene-ATP5F1B
ATP5F1C	gene-ATP5F1C
ATP5F1D	gene-ATP5F1D
ATP5IF1	gene-ATP5IF1
ATP5MC1	gene-ATP5MC1
ATP5PF	gene-ATP5PF
ATP6AP1	gene-ATP6AP1
ATP6AP2	gene-ATP6AP2
ATP6V0A1	gene-ATP6V0A1
ATP6V0A2	gene-ATP6V0A2
ATP6V0B	gene-ATP6V0B
ATP6V0D1	gene-ATP6V0D1
ATP6V0E1	gene-ATP6V0E1
ATP6V1A	gene-ATP6V1A
ATP6V1B1	gene-ATP6V1B1
ATP6V1B2	gene-ATP6V1B2
ATP6V1C1	gene-ATP6V1C1
ATP6V1D	gene-ATP6V1D
ATP6V1F	gene-ATP6V1F
ATP6V1FNB	gene-ATP6V1FNB
ATP6V1G2	gene-ATP6V1G2
ATP6V1H	gene-ATP6V1H
ATP7A	gene-ATP7A
ATP7B	gene-ATP7B
ATP8A1	gene-ATP8A1
ATP8B1	gene-ATP8B1
ATP8B2	gene-ATP8B2
ATP8B4	gene-ATP8B4
ATP9A	gene-ATP9A
ATP9B	gene-ATP9B
ATPAF1	gene-ATPAF1
ATPAF2	gene-ATPAF2
ATPSCKMT	gene-ATPSCKMT
ATR	gene-ATR
ATRAID	gene-ATRAID
ATRIP	gene-ATRIP
ATRN	gene-ATRN
ATRNL1	gene-ATRNL1
ATRX	gene-ATRX
ATXN1	gene-ATXN1
ATXN10	gene-ATXN10
ATXN1L	gene-ATXN1L
ATXN2	gene-ATXN2
ATXN2L	gene-ATXN2L
ATXN7	gene-ATXN7
ATXN7L1	gene-ATXN7L1
ATXN7L2	gene-ATXN7L2
ATXN7L3	gene-ATXN7L3
AUH	gene-AUH
AUNIP	gene-AUNIP
AUP1	gene-AUP1
AURKA	gene-AURKA
AURKAIP1	gene-AURKAIP1
AURKB	gene-AURKB
AUTS2	gene-AUTS2
AVEN	gene-AVEN
AVL9	gene-AVL9
AVPI1	gene-AVPI1
