run	cluster	gene	detected_fraction	mean_UMI
res0.5_seed42	9	CD3D	0.0	0.0
res0.5_seed42	9	CD3E	0.11764705882352941	0.17647058823529413
res0.5_seed42	9	CD3G	0.17647058823529413	0.17647058823529413
res0.5_seed42	9	CD247	0.058823529411764705	0.17647058823529413
res0.5_seed42	9	LCK	0.0	0.0
res0.5_seed42	9	CD2	0.0	0.0
res0.5_seed42	9	CD4	0.0	0.0
res0.5_seed42	9	CD8A	0.0	0.0
res0.5_seed42	9	CD8B	0.0	0.0
res0.5_seed42	9	LYZ	0.0	0.0
res0.5_seed42	9	LST1	0.058823529411764705	0.17647058823529413
res0.5_seed42	9	CSF1R	0.17647058823529413	1.0
res0.5_seed42	9	MS4A1	0.0	0.0
res0.5_seed42	9	CD79A	0.0	0.0
res0.5_seed42	9	NKG7	0.0	0.0
res0.5_seed42	9	MKI67	0.0	0.0
res1.0_seed0	0	CD3D	0.01639344262295082	0.018442622950819672
res1.0_seed0	0	CD3E	0.02971311475409836	0.04918032786885246
res1.0_seed0	0	CD3G	0.020491803278688523	0.02459016393442623
res1.0_seed0	0	CD247	0.03278688524590164	0.04918032786885246
res1.0_seed0	0	LCK	0.011270491803278689	0.012295081967213115
res1.0_seed0	0	CD2	0.03381147540983607	0.03790983606557377
res1.0_seed0	0	CD4	0.007172131147540984	0.007172131147540984
res1.0_seed0	0	CD8A	0.0	0.0
res1.0_seed0	0	CD8B	0.017418032786885244	0.018442622950819672
res1.0_seed0	0	LYZ	0.011270491803278689	0.012295081967213115
res1.0_seed0	0	LST1	0.11475409836065574	0.13319672131147542
res1.0_seed0	0	CSF1R	0.16700819672131148	0.2530737704918033
res1.0_seed0	0	MS4A1	0.0010245901639344263	0.0010245901639344263
res1.0_seed0	0	CD79A	0.0030737704918032786	0.0030737704918032786
res1.0_seed0	0	NKG7	0.004098360655737705	0.004098360655737705
res1.0_seed0	0	MKI67	0.0625	0.07172131147540983
res1.0_seed0	1	CD3D	0.005076142131979695	0.005076142131979695
res1.0_seed0	1	CD3E	0.015228426395939087	0.015228426395939087
res1.0_seed0	1	CD3G	0.005076142131979695	0.005076142131979695
res1.0_seed0	1	CD247	0.0	0.0
res1.0_seed0	1	LCK	0.015228426395939087	0.015228426395939087
