gene	sample	reported_donor	mapping_status	raw_count	CPM	observation
LCK	M_B7H3_CAR_T	M	exact_unique	8191	172.16989197773853	positive_assigned_pairs
LCK	M_BC_CAR_T	M	exact_unique	5653	125.4093356945695	positive_assigned_pairs
LCK	M_T_cell	M	exact_unique	14617	324.508970107722	positive_assigned_pairs
LOC119867197	B_B7H3_CAR_T	B	exact_unique	44	0.772491832698424	positive_assigned_pairs
LOC119867197	B_BC_CAR_T	B	exact_unique	42	0.750432047850978	positive_assigned_pairs
LOC119867197	B_T_cell	B	exact_unique	35	0.721726612557379	positive_assigned_pairs
LOC119867197	E_B7H3_CAR_T	E	exact_unique	27	0.5453234254664666	positive_assigned_pairs
LOC119867197	E_BC_CAR_T	E	exact_unique	29	0.7336224480373955	positive_assigned_pairs
LOC119867197	E_T_cell	E	exact_unique	18	0.4839340222635998	positive_assigned_pairs
LOC119867197	M_B7H3_CAR_T	M	exact_unique	53	1.1140281131510368	positive_assigned_pairs
LOC119867197	M_BC_CAR_T	M	exact_unique	33	0.7320905851620013	positive_assigned_pairs
LOC119867197	M_T_cell	M	exact_unique	21	0.46621662258070484	positive_assigned_pairs
LOC119872513	B_B7H3_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
LOC119872513	B_BC_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
LOC119872513	B_T_cell	B	exact_unique	0	0.0	zero_assigned_pairs
LOC119872513	E_B7H3_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
LOC119872513	E_BC_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
LOC119872513	E_T_cell	E	exact_unique	0	0.0	zero_assigned_pairs
LOC119872513	M_B7H3_CAR_T	M	exact_unique	0	0.0	zero_assigned_pairs
LOC119872513	M_BC_CAR_T	M	exact_unique	0	0.0	zero_assigned_pairs
LOC119872513	M_T_cell	M	exact_unique	0	0.0	zero_assigned_pairs
LOC119876429	B_B7H3_CAR_T	B	exact_unique	32	0.5618122419624902	positive_assigned_pairs
LOC119876429	B_BC_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
LOC119876429	B_T_cell	B	exact_unique	22	0.4536567278932097	positive_assigned_pairs
LOC119876429	E_B7H3_CAR_T	E	exact_unique	19	0.38374611421714316	positive_assigned_pairs
LOC119876429	E_BC_CAR_T	E	exact_unique	17	0.4300545385046801	positive_assigned_pairs
LOC119876429	E_T_cell	E	exact_unique	26	0.6990158099363107	positive_assigned_pairs
LOC119876429	M_B7H3_CAR_T	M	exact_unique	11	0.23121338197474348	positive_assigned_pairs
LOC119876429	M_BC_CAR_T	M	exact_unique	14	0.3105838846141824	positive_assigned_pairs
LOC119876429	M_T_cell	M	exact_unique	17	0.3774134563748563	positive_assigned_pairs
NCF2	B_B7H3_CAR_T	B	exact_unique	116	2.036569377114027	positive_assigned_pairs
NCF2	B_BC_CAR_T	B	exact_unique	318	5.681842648014547	positive_assigned_pairs
NCF2	B_T_cell	B	exact_unique	577	11.898178727017363	positive_assigned_pairs
NCF2	E_B7H3_CAR_T	E	exact_unique	79	1.595575948587069	positive_assigned_pairs
NCF2	E_BC_CAR_T	E	exact_unique	28	0.7083251222430026	positive_assigned_pairs
NCF2	E_T_cell	E	exact_unique	233	6.264257065967708	positive_assigned_pairs
NCF2	M_B7H3_CAR_T	M	exact_unique	1138	23.92007533520528	positive_assigned_pairs
NCF2	M_BC_CAR_T	M	exact_unique	1120	24.846710769134592	positive_assigned_pairs
NCF2	M_T_cell	M	exact_unique	767	17.028007119971456	positive_assigned_pairs
NIBAN1	B_B7H3_CAR_T	B	exact_unique	15798	277.3596812038569	positive_assigned_pairs
NIBAN1	B_BC_CAR_T	B	exact_unique	18715	334.3889470364536	positive_assigned_pairs
NIBAN1	B_T_cell	B	exact_unique	13471	277.78226279315584	positive_assigned_pairs
NIBAN1	E_B7H3_CAR_T	E	exact_unique	21247	429.1291415142969	positive_assigned_pairs
NIBAN1	E_BC_CAR_T	E	exact_unique	14164	358.31132255178176	positive_assigned_pairs
NIBAN1	E_T_cell	E	exact_unique	14914	400.9662226688515	positive_assigned_pairs
NIBAN1	M_B7H3_CAR_T	M	exact_unique	22915	481.6595134501133	positive_assigned_pairs
NIBAN1	M_BC_CAR_T	M	exact_unique	18549	411.5014625506049	positive_assigned_pairs
NIBAN1	M_T_cell	M	exact_unique	20437	453.7175769372316	positive_assigned_pairs
NPNT	B_B7H3_CAR_T	B	exact_unique	3	0.05266989768398346	positive_assigned_pairs
NPNT	B_BC_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
NPNT	B_T_cell	B	exact_unique	6	0.12372456215269355	positive_assigned_pairs
NPNT	E_B7H3_CAR_T	E	exact_unique	1	0.02019716390616543	positive_assigned_pairs
NPNT	E_BC_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
NPNT	E_T_cell	E	exact_unique	1	0.026885223459088878	positive_assigned_pairs
NPNT	M_B7H3_CAR_T	M	exact_unique	1	0.021019398361340317	positive_assigned_pairs
NPNT	M_BC_CAR_T	M	exact_unique	5	0.11092281593363656	positive_assigned_pairs
NPNT	M_T_cell	M	exact_unique	13	0.28861029016900774	positive_assigned_pairs
NTF3	B_B7H3_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
