gene	comparison	reported_donor	numerator_CPM	denominator_CPM	log2_ratio	status
CD8B	dual_vs_control	M	10.40456013457511	21.690173345778504	-1.0598256082599964	descriptive_both_positive
CD8B	dual_vs_single	B	305.62238520216613	217.0877616208185	0.4934718209890588	descriptive_both_positive
CD8B	dual_vs_single	E	169.59327212561033	155.0132329798197	0.12968755941445356	descriptive_both_positive
CD8B	dual_vs_single	M	10.40456013457511	11.602707895459854	-0.157245573041912	descriptive_both_positive
CD9	single_vs_control	B	0.33357601866522857	1.670281589061363	-2.324003864077272	descriptive_both_positive
CD9	single_vs_control	E	0.9896610314021062	3.2262268150906652	-1.704841490868943	descriptive_both_positive
CD9	single_vs_control	M	3.9726662902933194	5.483595513211148	-0.4650145473914735	descriptive_both_positive
CD9	dual_vs_control	B	0.7146971884295028	1.670281589061363	-1.2246873260223987	descriptive_both_positive
CD9	dual_vs_control	E	0.6830277964486097	3.2262268150906652	-2.2398316719606766	descriptive_both_positive
CD9	dual_vs_control	M	2.1740871922992766	5.483595513211148	-1.3347123562764573	descriptive_both_positive
CD9	dual_vs_single	B	0.7146971884295028	0.33357601866522857	1.099316538054874	descriptive_both_positive
CD9	dual_vs_single	E	0.6830277964486097	0.9896610314021062	-0.5349901810917334	descriptive_both_positive
CD9	dual_vs_single	M	2.1740871922992766	3.9726662902933194	-0.8696978088849837	descriptive_both_positive
COLGALT2	single_vs_control	B	0.0877831628066391	0.0		zero_no_ratio
COLGALT2	single_vs_control	E	0.04039432781233086	0.2419670111317999	-2.582585740817945	descriptive_both_positive
COLGALT2	single_vs_control	M	0.12611639016804188	0.28861029016900774	-1.1943669574478044	descriptive_both_positive
COLGALT2	dual_vs_control	B	0.05360228913221271	0.0		zero_no_ratio
COLGALT2	dual_vs_control	E	0.0	0.2419670111317999		zero_no_ratio
COLGALT2	dual_vs_control	M	0.11092281593363656	0.28861029016900774	-1.3795665920607176	descriptive_both_positive
COLGALT2	dual_vs_single	B	0.05360228913221271	0.0877831628066391	-0.7116496375551092	descriptive_both_positive
COLGALT2	dual_vs_single	E	0.0	0.04039432781233086		zero_no_ratio
COLGALT2	dual_vs_single	M	0.11092281593363656	0.12611639016804188	-0.18519963461291322	descriptive_both_positive
EDEM3	single_vs_control	B	71.3150414641136	76.15246800498288	-0.09468439754569369	descriptive_both_positive
EDEM3	single_vs_control	E	68.34720265846381	54.818970633082216	0.3182070537277205	descriptive_both_positive
EDEM3	single_vs_control	M	116.13217594640524	90.73463507082575	0.35604248111762926	descriptive_both_positive
EDEM3	dual_vs_control	B	93.26798309005011	76.15246800498288	0.2924911262264969	descriptive_both_positive
EDEM3	dual_vs_control	E	56.38773919570188	54.818970633082216	0.040706262727529474	descriptive_both_positive
EDEM3	dual_vs_control	M	84.45663205187088	90.73463507082575	-0.10344264226538431	descriptive_both_positive
EDEM3	dual_vs_single	B	93.26798309005011	71.3150414641136	0.3871755237721906	descriptive_both_positive
EDEM3	dual_vs_single	E	56.38773919570188	68.34720265846381	-0.277500791000191	descriptive_both_positive
EDEM3	dual_vs_single	M	84.45663205187088	116.13217594640524	-0.4594851233830135	descriptive_both_positive
GALNT8	single_vs_control	B	0.0	0.08248304143512904		zero_no_ratio
GALNT8	single_vs_control	E	0.0	0.10754089383635551		zero_no_ratio
GALNT8	single_vs_control	M	0.0	0.08880316620584854		zero_no_ratio
GALNT8	dual_vs_control	B	0.08933714855368785	0.08248304143512904	0.11516267686222605	descriptive_both_positive
GALNT8	dual_vs_control	E	0.0	0.10754089383635551		zero_no_ratio
GALNT8	dual_vs_control	M	0.02218456318672731	0.08880316620584854	-2.001054968806988	descriptive_both_positive
GALNT8	dual_vs_single	B	0.08933714855368785	0.0		zero_no_ratio
GALNT8	dual_vs_single	E	0.0	0.0		zero_no_ratio
GALNT8	dual_vs_single	M	0.02218456318672731	0.0		zero_no_ratio
GIMD1	single_vs_control	B	0.12289642792929474	0.12372456215269355	-0.009688953299785271	descriptive_both_positive
GIMD1	single_vs_control	E	0.08078865562466173	0.053770446918177756	0.587339260624367	descriptive_both_positive
GIMD1	single_vs_control	M	0.12611639016804188	0.17760633241169707	-0.49392723930671223	descriptive_both_positive
GIMD1	dual_vs_control	B	0.08933714855368785	0.12372456215269355	-0.46979982385893015	descriptive_both_positive
GIMD1	dual_vs_control	E	0.1517839547663577	0.053770446918177756	1.4971339222055295	descriptive_both_positive
GIMD1	dual_vs_control	M	0.02218456318672731	0.17760633241169707	-3.001054968806988	descriptive_both_positive
GIMD1	dual_vs_single	B	0.08933714855368785	0.12289642792929474	-0.46011087055914485	descriptive_both_positive
GIMD1	dual_vs_single	E	0.1517839547663577	0.08078865562466173	0.9097946615811624	descriptive_both_positive
GIMD1	dual_vs_single	M	0.02218456318672731	0.12611639016804188	-2.5071277295002754	descriptive_both_positive
GSTCD	single_vs_control	B	9.954610662272874	5.4645014950772985	0.8652750008554341	descriptive_both_positive
GSTCD	single_vs_control	E	6.624669761222261	4.086553965781509	0.6969637517988653	descriptive_both_positive
GSTCD	single_vs_control	M	10.131350010166033	7.503867544394201	0.43312015991990915	descriptive_both_positive
GSTCD	dual_vs_control	B	6.092793531361512	5.4645014950772985	0.15701396154847463	descriptive_both_positive
GSTCD	dual_vs_control	E	11.737959168598328	4.086553965781509	1.52222490316836	descriptive_both_positive
GSTCD	dual_vs_control	M	21.71868735980604	7.503867544394201	1.533230644514523	descriptive_both_positive
GSTCD	dual_vs_single	B	6.092793531361512	9.954610662272874	-0.7082610393069595	descriptive_both_positive
GSTCD	dual_vs_single	E	11.737959168598328	6.624669761222261	0.8252611513694946	descriptive_both_positive
GSTCD	dual_vs_single	M	21.71868735980604	10.131350010166033	1.100110484594614	descriptive_both_positive
INTS12	single_vs_control	B	19.206956022092633	12.125007090963969	0.6636433033199588	descriptive_both_positive
INTS12	single_vs_control	E	12.90598773603971	12.797366366526305	0.012193618263418063	descriptive_both_positive
INTS12	single_vs_control	M	14.419307275879456	15.09653825499425	-0.06621590999275774	descriptive_both_positive
INTS12	dual_vs_control	B	14.454750635986693	12.125007090963969	0.25355812956847673	descriptive_both_positive
INTS12	dual_vs_control	E	14.723043612336696	12.797366366526305	0.2022290010847138	descriptive_both_positive
INTS12	dual_vs_control	M	17.08211365378003	15.09653825499425	0.17826873063757429	descriptive_both_positive
INTS12	dual_vs_single	B	14.454750635986693	19.206956022092633	-0.4100851737514821	descriptive_both_positive
INTS12	dual_vs_single	E	14.723043612336696	12.90598773603971	0.19003538282129548	descriptive_both_positive
INTS12	dual_vs_single	M	17.08211365378003	14.419307275879456	0.24448464063033185	descriptive_both_positive
KCNA1	single_vs_control	B	0.0	0.02062076035878226		zero_no_ratio
KCNA1	single_vs_control	E	0.0	0.0		zero_no_ratio
KCNA1	single_vs_control	M	0.0	0.0		zero_no_ratio
KCNA1	dual_vs_control	B	0.08933714855368785	0.02062076035878226	2.115162676862226	descriptive_both_positive
KCNA1	dual_vs_control	E	0.0	0.0		zero_no_ratio
KCNA1	dual_vs_control	M	0.0	0.0		zero_no_ratio
KCNA1	dual_vs_single	B	0.08933714855368785	0.0		zero_no_ratio
KCNA1	dual_vs_single	E	0.0	0.0		zero_no_ratio
KCNA1	dual_vs_single	M	0.0	0.0		zero_no_ratio
KCNA5	single_vs_control	B	0.0	0.0		zero_no_ratio
KCNA5	single_vs_control	E	0.0	0.0		zero_no_ratio
KCNA5	single_vs_control	M	0.0	0.0		zero_no_ratio
KCNA5	dual_vs_control	B	0.0	0.0		zero_no_ratio
KCNA5	dual_vs_control	E	0.0	0.0		zero_no_ratio
KCNA5	dual_vs_control	M	0.0	0.0		zero_no_ratio
KCNA5	dual_vs_single	B	0.0	0.0		zero_no_ratio
KCNA5	dual_vs_single	E	0.0	0.0		zero_no_ratio
KCNA5	dual_vs_single	M	0.0	0.0		zero_no_ratio
KCNA6	single_vs_control	B	0.0	0.0		zero_no_ratio
KCNA6	single_vs_control	E	0.0	0.0		zero_no_ratio
KCNA6	single_vs_control	M	0.0	0.0		zero_no_ratio
KCNA6	dual_vs_control	B	0.0	0.0		zero_no_ratio
KCNA6	dual_vs_control	E	0.0	0.0		zero_no_ratio
KCNA6	dual_vs_control	M	0.0	0.0		zero_no_ratio
KCNA6	dual_vs_single	B	0.0	0.0		zero_no_ratio
KCNA6	dual_vs_single	E	0.0	0.0		zero_no_ratio
KCNA6	dual_vs_single	M	0.0	0.0		zero_no_ratio
LCK	single_vs_control	B	455.06791598961706	501.166959759844	-0.13920943136632974	descriptive_both_positive
LCK	single_vs_control	E	420.3029808873026	470.89468888594166	-0.1639747624423609	descriptive_both_positive
LCK	single_vs_control	M	172.16989197773853	324.508970107722	-0.914425482820382	descriptive_both_positive
LCK	dual_vs_control	B	508.113966113955	501.166959759844	0.019860813064582948	descriptive_both_positive
LCK	dual_vs_control	E	363.674355620193	470.89468888594166	-0.37275725269511	descriptive_both_positive
LCK	dual_vs_control	M	125.4093356945695	324.508970107722	-1.3716136089598105	descriptive_both_positive
LCK	dual_vs_single	B	508.113966113955	455.06791598961706	0.15907024443091247	descriptive_both_positive
LCK	dual_vs_single	E	363.674355620193	420.3029808873026	-0.20878249025274906	descriptive_both_positive
LCK	dual_vs_single	M	125.4093356945695	172.16989197773853	-0.4571881261394286	descriptive_both_positive
LOC119867197	single_vs_control	B	0.772491832698424	0.721726612557379	0.09806722705609772	descriptive_both_positive
LOC119867197	single_vs_control	E	0.5453234254664666	0.4839340222635998	0.17230176134552333	descriptive_both_positive
LOC119867197	single_vs_control	M	1.1140281131510368	0.46621662258070484	1.2567132917565706	descriptive_both_positive
LOC119867197	dual_vs_control	B	0.750432047850978	0.721726612557379	0.05626898780865761	descriptive_both_positive
LOC119867197	dual_vs_control	E	0.7336224480373955	0.4839340222635998	0.6002274151696332	descriptive_both_positive
LOC119867197	dual_vs_control	M	0.7320905851620013	0.46621662258070484	0.6510217277727054	descriptive_both_positive
LOC119867197	dual_vs_single	B	0.750432047850978	0.772491832698424	-0.0417982392474401	descriptive_both_positive
LOC119867197	dual_vs_single	E	0.7336224480373955	0.5453234254664666	0.4279256538241098	descriptive_both_positive
LOC119867197	dual_vs_single	M	0.7320905851620013	1.1140281131510368	-0.6056915639838653	descriptive_both_positive
LOC119872513	single_vs_control	B	0.0	0.0		zero_no_ratio
LOC119872513	single_vs_control	E	0.0	0.0		zero_no_ratio
LOC119872513	single_vs_control	M	0.0	0.0		zero_no_ratio
LOC119872513	dual_vs_control	B	0.0	0.0		zero_no_ratio
LOC119872513	dual_vs_control	E	0.0	0.0		zero_no_ratio
LOC119872513	dual_vs_control	M	0.0	0.0		zero_no_ratio
LOC119872513	dual_vs_single	B	0.0	0.0		zero_no_ratio
LOC119872513	dual_vs_single	E	0.0	0.0		zero_no_ratio
LOC119872513	dual_vs_single	M	0.0	0.0		zero_no_ratio
LOC119876429	single_vs_control	B	0.5618122419624902	0.4536567278932097	0.3084870067264695	descriptive_both_positive
LOC119876429	single_vs_control	E	0.38374611421714316	0.6990158099363107	-0.8651729440731394	descriptive_both_positive
LOC119876429	single_vs_control	M	0.23121338197474348	0.3774134563748563	-0.7069209626409104	descriptive_both_positive
LOC119876429	dual_vs_control	B	0.0	0.4536567278932097		zero_no_ratio
LOC119876429	dual_vs_control	E	0.4300545385046801	0.6990158099363107	-0.7008054554063792	descriptive_both_positive
LOC119876429	dual_vs_control	M	0.3105838846141824	0.3774134563748563	-0.28116288799972294	descriptive_both_positive
LOC119876429	dual_vs_single	B	0.0	0.5618122419624902		zero_no_ratio
LOC119876429	dual_vs_single	E	0.4300545385046801	0.38374611421714316	0.1643674886667603	descriptive_both_positive
LOC119876429	dual_vs_single	M	0.3105838846141824	0.23121338197474348	0.4257580746411874	descriptive_both_positive
NCF2	single_vs_control	B	2.036569377114027	11.898178727017363	-2.5465278881541438	descriptive_both_positive
NCF2	single_vs_control	E	1.595575948587069	6.264257065967708	-1.9730661358528103	descriptive_both_positive
NCF2	single_vs_control	M	23.92007533520528	17.028007119971456	0.4903123347757803	descriptive_both_positive
NCF2	dual_vs_control	B	5.681842648014547	11.898178727017363	-1.0663099713862636	descriptive_both_positive
NCF2	dual_vs_control	E	0.7083251222430026	6.264257065967708	-3.1446598011123026	descriptive_both_positive
NCF2	dual_vs_control	M	24.846710769134592	17.028007119971456	0.5451452806350456	descriptive_both_positive
NCF2	dual_vs_single	B	5.681842648014547	2.036569377114027	1.4802179167678802	descriptive_both_positive
NCF2	dual_vs_single	E	0.7083251222430026	1.595575948587069	-1.1715936652594927	descriptive_both_positive
NCF2	dual_vs_single	M	24.846710769134592	23.92007533520528	0.0548329458592651	descriptive_both_positive
NIBAN1	single_vs_control	B	277.3596812038569	277.78226279315584	-0.002196398552115915	descriptive_both_positive
NIBAN1	single_vs_control	E	429.1291415142969	400.9662226688515	0.09793116626552562	descriptive_both_positive
NIBAN1	single_vs_control	M	481.6595134501133	453.7175769372316	0.08621911079691114	descriptive_both_positive
NIBAN1	dual_vs_control	B	334.3889470364536	277.78226279315584	0.26757267907908583	descriptive_both_positive
NIBAN1	dual_vs_control	E	358.31132255178176	400.9662226688515	-0.16226707631094947	descriptive_both_positive
NIBAN1	dual_vs_control	M	411.5014625506049	453.7175769372316	-0.14089699226231478	descriptive_both_positive
NIBAN1	dual_vs_single	B	334.3889470364536	277.3596812038569	0.26976907763120184	descriptive_both_positive
NIBAN1	dual_vs_single	E	358.31132255178176	429.1291415142969	-0.2601982425764749	descriptive_both_positive
NIBAN1	dual_vs_single	M	411.5014625506049	481.6595134501133	-0.22711610305922564	descriptive_both_positive
NPNT	single_vs_control	B	0.05266989768398346	0.12372456215269355	-1.2320813746362331	descriptive_both_positive
NPNT	single_vs_control	E	0.02019716390616543	0.026885223459088878	-0.4126607393756329	descriptive_both_positive
NPNT	single_vs_control	M	0.021019398361340317	0.28861029016900774	-3.7793294581689603	descriptive_both_positive
